tiup is checking updates for component bench ...
Starting component `bench`: /home/lintianshi/.tiup/components/bench/v1.10.3/tiup-bench tpcc --warehouses 8 -H 172.16.4.76 -P 4056 -p W#p=@5T7bgz3Y20-x9 --threads 4 run
[Current] DELIVERY - Takes(s): 9.6, Count: 28, TPM: 175.3, Sum(ms): 2654.6, Avg(ms): 94.6, 50th(ms): 92.3, 90th(ms): 113.2, 95th(ms): 130.0, 99th(ms): 159.4, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 289, TPM: 1733.3, Sum(ms): 5903.4, Avg(ms): 20.4, 50th(ms): 21.0, 90th(ms): 27.3, 95th(ms): 28.3, 99th(ms): 35.7, 99.9th(ms): 41.9, Max(ms): 41.9
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 26, TPM: 160.6, Sum(ms): 280.7, Avg(ms): 10.8, 50th(ms): 11.0, 90th(ms): 14.7, 95th(ms): 15.2, 99th(ms): 17.8, 99.9th(ms): 17.8, Max(ms): 17.8
[Current] PAYMENT - Takes(s): 10.0, Count: 315, TPM: 1889.6, Sum(ms): 3893.7, Avg(ms): 12.4, 50th(ms): 11.5, 90th(ms): 17.8, 95th(ms): 22.0, 99th(ms): 28.3, 99.9th(ms): 30.4, Max(ms): 30.4
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 28, TPM: 169.8, Sum(ms): 516.3, Avg(ms): 18.5, 50th(ms): 17.8, 90th(ms): 22.0, 95th(ms): 28.3, 99th(ms): 29.4, 99.9th(ms): 29.4, Max(ms): 29.4
[Current] DELIVERY - Takes(s): 2.5, Count: 17, TPM: 402.3, Sum(ms): 1610.3, Avg(ms): 95.1, 50th(ms): 96.5, 90th(ms): 109.1, 95th(ms): 113.2, 99th(ms): 117.4, 99.9th(ms): 117.4, Max(ms): 117.4
[Current] NEW_ORDER - Takes(s): 4.7, Count: 255, TPM: 3253.6, Sum(ms): 45309.7, Avg(ms): 177.4, 50th(ms): 19.9, 90th(ms): 27.3, 95th(ms): 31.5, 99th(ms): 906.0, 99.9th(ms): 13958.6, Max(ms): 13958.6
[Current] ORDER_STATUS - Takes(s): 3.5, Count: 13, TPM: 225.3, Sum(ms): 110.7, Avg(ms): 8.5, 50th(ms): 7.9, 90th(ms): 12.1, 95th(ms): 12.1, 99th(ms): 12.6, 99.9th(ms): 12.6, Max(ms): 12.6
[Current] PAYMENT - Takes(s): 3.6, Count: 273, TPM: 4569.8, Sum(ms): 18087.4, Avg(ms): 66.8, 50th(ms): 12.1, 90th(ms): 18.9, 95th(ms): 22.0, 99th(ms): 44.0, 99.9th(ms): 13421.8, Max(ms): 13421.8
[Current] STOCK_LEVEL - Takes(s): 3.5, Count: 17, TPM: 287.5, Sum(ms): 1459.9, Avg(ms): 87.1, 50th(ms): 19.9, 90th(ms): 24.1, 95th(ms): 28.3, 99th(ms): 1208.0, 99.9th(ms): 1208.0, Max(ms): 1208.0
[Current] DELIVERY - Takes(s): 9.8, Count: 73, TPM: 447.8, Sum(ms): 7036.0, Avg(ms): 96.4, 50th(ms): 92.3, 90th(ms): 121.6, 95th(ms): 125.8, 99th(ms): 134.2, 99.9th(ms): 142.6, Max(ms): 142.6
[Current] NEW_ORDER - Takes(s): 10.0, Count: 880, TPM: 5283.6, Sum(ms): 18887.2, Avg(ms): 21.5, 50th(ms): 21.0, 90th(ms): 29.4, 95th(ms): 33.6, 99th(ms): 44.0, 99.9th(ms): 60.8, Max(ms): 83.9
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 97, TPM: 592.8, Sum(ms): 1045.3, Avg(ms): 10.8, 50th(ms): 11.0, 90th(ms): 14.2, 95th(ms): 18.9, 99th(ms): 22.0, 99.9th(ms): 32.5, Max(ms): 32.5
[Current] PAYMENT - Takes(s): 10.0, Count: 864, TPM: 5184.0, Sum(ms): 11135.5, Avg(ms): 12.9, 50th(ms): 12.1, 90th(ms): 18.9, 95th(ms): 23.1, 99th(ms): 30.4, 99.9th(ms): 50.3, Max(ms): 54.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 89, TPM: 534.3, Sum(ms): 1650.7, Avg(ms): 18.6, 50th(ms): 18.9, 90th(ms): 23.1, 95th(ms): 24.1, 99th(ms): 26.2, 99.9th(ms): 27.3, Max(ms): 27.3
[Current] DELIVERY - Takes(s): 9.9, Count: 77, TPM: 465.3, Sum(ms): 7284.9, Avg(ms): 94.7, 50th(ms): 92.3, 90th(ms): 113.2, 95th(ms): 125.8, 99th(ms): 151.0, 99.9th(ms): 159.4, Max(ms): 159.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 797, TPM: 4782.3, Sum(ms): 16522.9, Avg(ms): 20.7, 50th(ms): 19.9, 90th(ms): 27.3, 95th(ms): 30.4, 99th(ms): 39.8, 99.9th(ms): 44.0, Max(ms): 54.5
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 70, TPM: 430.0, Sum(ms): 703.7, Avg(ms): 10.1, 50th(ms): 10.0, 90th(ms): 15.2, 95th(ms): 15.7, 99th(ms): 21.0, 99.9th(ms): 26.2, Max(ms): 26.2
